Package,Function,First lesson used,Definition
.Primitive,(...),0.1-intro_to_r_and_rstudio,Operator that evaluates the function name on the left-hand-side (LHS) of the opening parentheses using the arguments enclosed by the parentheses
.Primitive,{…},3.2_introduction_to_shapefiles,Operator that passes the last operation in `{...}` to the global environment
.Primitive,<-,0.1-intro_to_r_and_rstudio,Infix operator that assigns an object on the right-hand-side (RHS) to a name on the left-hand-side (LHS) -- this should be used for global assignments!
.Primitive,=,0.1-intro_to_r_and_rstudio,Infix operator that assigns an object on the right-hand-side (RHS) to a name on the left-hand-side (LHS) -- this should not be used for global assignments!
.Primitive,~,1.3_objects,The formula operator separates the left- and right-hand sides (LHS and RHS) in a formula.
.Primitive,:,0.2-values,Infix operator that generates a regular sequence of adjacent values
.Primitive,::,1.3_objects,Infix operator that can be used to access a package environment without attaching the whole package environment to your current session
.Primitive,[…],0.4-indexing,Extraction operator used to index multiple values from a data object (LHS) based on the position or values specified inside the brackets
.Primitive,[[…]],0.4-indexing,Extraction operator used to index a single value from a data object (LHS) based on the position or values specified inside the brackets
.Primitive,$,0.4-indexing,Infix operator that extracts the values associated with a name (RHS) from a recursive object (LHS)
.Primitive,==,0.2-values,Infix relational operator (is equal to)
.Primitive,!=,0.2-values,Infix relational operator (is not equal to)
.Primitive,!,1.3_objects,Prefix logical operator (not)
.Primitive,&,0.2-values,Prefix logical operator (and)
.Primitive,|,0.2-values,Prefix logical operator (or)
.Primitive,>,0.2-values,Infix relational operator (greater than)
.Primitive,<,0.2-values,Infix relational operator (less than)
.Primitive,>=,2.5_subsetting,Infix relational operator (greater than or equal to)
.Primitive,<=,0.2-values,Infix relational operator (less than or equal to)
.Primitive,+,0.1-intro_to_r_and_rstudio,Infix arithmetic operator (addition)
.Primitive,-,0.2-values,Infix arithmetic operator (subtract) or prefix negative symbol operator
.Primitive,*,2.4_mutation,Infix arithmetic operator (multiply)
.Primitive,/,0.3-objects,Infix arithmetic operator (divide)
.Primitive,as.character,0.2-values,Transform an atomic vector to a character vector
.Primitive,as.integer,0.2-values,Transform an atomic vector to an integer vector
.Primitive,as.numeric,0.2-values,"Transform an atomic vector to an double numeric vector (i.e., decimal numbers)"
.Primitive,attributes,0.3-objects,Generate and print a list that represents the attributes of a data object
.Primitive,c,0.1-intro_to_r_and_rstudio,Combine values to form an atomic vector
.Primitive,ceiling,3.2_introduction_to_shapefiles,Round a numeric vector to an integer value not less than the the corresponding elements of x
.Primitive,class,0.2-values,Print the class of an object as a one-value character vector
.Primitive,dim,0.3-objects,Return the number of dimensions of an object as an integer vector
.Primitive,function,3.2_introduction_to_shapefiles,Write a custom function
.Primitive,is.na,2.5_subsetting,A logical test of whether a value in a vector is [NA]
.Primitive,length,0.3-objects,Return the number of values in an atomic vector or the number of list items in a list (or data frame!) as a one-value integer vector
.Primitive,list,0.3-objects,"Combine multiple objects of any type into a single, recursive, data object"
.Primitive,max,1.4_importing_exploring_exporting,Return the highest value in a numeric vector (integer or double) as a one-value numeric or integer vector (depending on input)
.Primitive,min,1.4_importing_exploring_exporting,Return the lowest value in a numeric vector (integer or double) as a one-value numeric or integer vector (depending on input)
.Primitive,names,0.3-objects,Retrieve the names (or names attribute) assigned to an R object (generates a character vector)
.Primitive,sum,0.2-values,Calculate the sum of the values in a vector
base,%in%,0.2-values,Infix relational operator that tests whether the vector on the left-hand-side (LHS) is within the vector on the right
base,as.matrix,3.3_constructing_and_converting_shapefiles,Convert a data frame to a matrix
base,environment,1.3_objects,Print the environment of a given function
base,factor,0.2-values,Convert a character vector to a factor
base,file.remove,1.4_importing_exploring_exporting,Delete a file from your hard drive
base,function,3.2_introduction_to_shapefiles,Initiate the creation of a custom function
base,levels,1.4_importing_exploring_exporting,Generate a character vector of factor levels in a factor variable
base,library,0.1-intro_to_r_and_rstudio,Attach the package environment for a given package to the current R session
base,list.files,1.4_importing_exploring_exporting,List files in a specified folder on your computer's hard drive
base,list2env,2.1_reshaping_data_frames,Assign the items in a list to a specified environment
base,ls,0.1-intro_to_r_and_rstudio,Generate a character vector of names in a specified environment (default is the global environment)
base,matrix,0.3-objects,Generate a matrix object by adding dimensional attributes to an atomic vector
base,mean,0.1-intro_to_r_and_rstudio,Generate a one-value double numeric vector that describes the mean of a vector
base,ncol,0.3-objects,"Return the number of columns (i.e., variables or list items) in a data frame as a one-value integer vector"
base,nrow,0.3-objects,"Return the number of rows (i.e., observations) in a data frame as a one-value integer vector"
base,rm,0.1-intro_to_r_and_rstudio,Remove a name from a specified environment (default is the global environment)
base,search,1.3_objects,Print a character vector of attached objects associated with your current R session
base,source,3.2_introduction_to_shapefiles,Execute a source script (in its entirety)
base,summary,1.4_importing_exploring_exporting,Print summary stats for a data object
base,tolower,1.5_assignments,Convert a character vector to lowercase
base,table,1.4_importing_exploring_exporting,Count the number of unique observations in an atomic vector
base,typeof,0.2-values,Print a one-value character vector that represents how a data object is stored on our computer
base,unit,2.2_intro_to_data_vis,Set or create a unit object
base,unique,1.4_importing_exploring_exporting,Subset an atomic vector to the unique values in the set
dplyr,anti_join,3.4_joins,A filtering join that joins a source table to a target table and maintains only records in which the key values *do not* match
dplyr,arrange,1.4_importing_exploring_exporting,Sort the rows of a data frame by the values in a variable or variables
dplyr,bind_cols,1.3_objects,Combine two variables or columns of two tibbles to create a new tibble
dplyr,bind_rows,2.1_reshaping_data_frames,Combine rows of two or more tibbles to create a new tibble
dplyr,count,2.1_reshaping_data_frames,Tabulate the number of observations of each unique value of a column in a data frame and return as a long format tibble
dplyr,desc,1.4_importing_exploring_exporting,"When used with `arrange()`, this sorts the rows of a data frame by the values of a variable in descending order"
dplyr,distinct,2.1_reshaping_data_frames,Subset a data frame by removing duplicate rows
dplyr,filter,2.5_subsetting,Subset a data frame by logical condition
dplyr,full_join,3.4_joins,"A mutating join that joins a source table to a target table and maintains all records in both tables, regardless of matching key values"
dplyr,group_by,2.1_reshaping_data_frames,Group the data in a data frame by a given variable such that one or more subsequent analyses are run separately on each group
dplyr,inner_join,3.4_joins,A mutating join that joins a source table to a target table and maintains only records with matching key values
dplyr,join_by,3.4_joins,Specify the key columns within a join function
dplyr,left_join,2.1_reshaping_data_frames,"A mutating join that joins a source table to a target table and maintains all records found in the target table, regardless of matching key values"
dplyr,mutate,2.4_mutation,Add or modify a column in a data frame
dplyr,n,2.1_reshaping_data_frames,Calculate the number of observations (rows)
dplyr,na_if,2.4_mutation,Convert a value in a vector to NA
dplyr,pull,2.5_subsetting,Extract a column from a data frame as a vector
dplyr,rename,1.5_assignments,Change the name assigned to a column in a data frame
dplyr,row_number,2.4_mutation,Generate a sequence of integer values from 1 to the number of rows in a data frame
dplyr,select,2.1_reshaping_data_frames,Subset columns in a data frame by name (without quotes!)
dplyr,semi_join,3.4_joins,A filtering join that joins a source table to a target table and maintains only records with matching key values
dplyr,slice,2.5_subsetting,Subset a data frame by row or rows using the row position(s)
dplyr,slice_head,1.4_importing_exploring_exporting,Subset a data frame to the first row (default) or rows
dplyr,slice_tail,1.4_importing_exploring_exporting,Subset a data frame to the last row (default) or rows
